job_id,company_name,title,description,max_salary,pay_period,location,company_id,views,med_salary,min_salary,formatted_work_type,applies,original_listed_time,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,normalized_salary,zip_code,fips
921716,Corcoran Sawyer Smith,Marketing Coordinator,"Job descriptionA leading real estate firm in New Jersey is seeking an administrative Marketing Coordinator with some experience in graphic design. You will be working closely with our fun, kind, ambitious members of the sales team and our dynamic executive team on a daily basis. This is an opportunity to be part of a fast-growing, highly respected real estate brokerage with a reputation for exceptional marketing and extraordinary culture of cooperation and inclusion.Who you are:You must be a well-organized, creative, proactive, positive, and most importantly, kind-hearted person. Please, be responsible, respectful, and cool-under-pressure. Please, be proficient in Adobe Creative Cloud (Indesign, Illustrator, Photoshop) and Microsoft Office Suite. Above all, have fantastic taste and be a good-hearted, fun-loving person who loves working with people and is eager to learn.Role:Our office is a fast-paced environment. You’ll work directly with a Marketing team and communicate daily with other core staff and our large team of agents. This description is a brief overview, but your skills and interests will be considered in what you work on and as the role evolves over time.Agent Assistance- Receive & Organize Marketing Requests from Agents- Track Tasks & Communicate with Marketing team & Agents on Status- Prepare print materials and signs for open houses- Submit Orders to Printers & Communicate & Track DeadlinesGraphic Design & Branding- Managing brand strategy and messaging through website, social media, videos, online advertising, print placement and events- Receive, organize, and prioritize marketing requests from agents- Fulfill agent design requests including postcards, signs, email marketing and property brochures using pre-existing templates and creating custom designs- Maintain brand assets and generic filesEvents & Community- Plan and execute events and promotions- Manage Contacts & Vendors for Event Planning & SponsorshipsOur company is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.Job Type: Full-time
Pay: $18-20/hour
Expected hours: 35 – 45 per week
Benefits:Paid time offSchedule:8 hour shiftMonday to FridayExperience:Marketing: 1 year (Preferred)Graphic design: 2 years (Preferred)Work Location: In person
",20.0,HOURLY,"Princeton, NJ",2774458.0,20.0,,17.0,Full-time,2.0,1713397508000.0,,https://www.linkedin.com/jobs/view/921716/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1715989508000.0,,,"Requirements: 

We are seeking a College or Graduate Student (can also be completed with school) with a focus in Planning, Architecture, Real Estate Development or Management or General Business. Must be able to work in an extremely fast paced environment and able to multitask and prioritize.",1713397508000.0,,0,FULL_TIME,USD,BASE_SALARY,38480.0,8540.0,34021.0
1829192,,Mental Health Therapist/Counselor,"At Aspen Therapy and Wellness , we are committed to serving clients with best practices to help them with change, improvements and better quality of life. We believe in providing a secure, supportive environment to grow as a clinician and learn how to foster longevity in the career which is part of our mission statement.
Thank you for taking the time to explore a career with us. We are excited to be a new group practice in the community. If you are looking for quality supervision as you work towards licensure and ability to serve populations while accepting a variety of insurance panels, we may be a good fit. Our supervisors are trained in EMDR and utilize a parts work perspective with a trauma lens.
We are actively looking to hire a therapist in the area who is passionate about working with adults and committed to growth and excellence in the field. We are located in Old Town Square, Fort Collins.
We value and are strengthened by diversity and desire a warm and welcoming place for all people. We believe in racial and ethnic equality, gender equity and social inclusion.
Position Requirement Possibilities:A graduate level psychological counseling-related degreeMasters of Social Work (MSW/LSW)Licensed Professional Counselor Candidate (LPCC)Clinical Social worker (LCSW)Professional Counselor (LPC)Marriage/Family Therapist (LMFT)Relating to this?Wanting to deliver high quality mental healthcareSeeking quality supervision and growth in a healthy environmentWhat we offer:Flexible work scheduleW2 Employment - commission basedBuilding to full time workJump of 5% in commission as well as monthly bonus/stipend once full timeWeekly supervision providedPaid weekly team meetings $30/hrTwo paid wellness hours/month $30/hrTelemedicine and in-person flexibilitySupportive work environment with direct access to two supervisorsAdministrative supportApproved professional development training providedFully automated EHR and technology supportStrong work/life balanceJob Duties:Conducting intake assessmentsDeveloping and implementing treatment plans for clients based on assessment and coordinating any additional services needed, revising as necessaryConducting individual sessions as appropriate for the treatment plan of the patientApplying psychotherapeutic techniques and interventions in the delivery of services to individuals for the purpose of treating emotional and behavioral disorders that have been diagnosed in assessmentParticipating in team meetings in order to staff new cases. Presenting appropriate patient information to the team. Recommending effective treatment interventions.Building and maintaining an active caseload with assigned clientsCompleting timely progress notes and treatment updates in the EHR. Maintaining all clinical documentation in accordance with regulatory and accrediting standardsProviding crisis intervention to patients in acute distress and referring as neededPerforming case management and discharge planning as neededExcellent communication and interpersonal skillsCompassionate and empathetic approach to patient carePlease send resume and cover letter to info@aspentherapyandwellness.com
About Aspen Therapy and Wellness LLCAspen Therapy and Wellness is a mental health services provider focusing on work with adults in an outpatient setting, working with a variety of mental health issues both in-person in Old Town Fort Collins and throughout the state of Colorado via telehealth services.
Please note that this job description is not exhaustive and additional duties may be assigned as needed.",50.0,HOURLY,"Fort Collins, CO",,1.0,,30.0,Full-time,,1712857887000.0,,https://www.linkedin.com/jobs/view/1829192/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1715449887000.0,,,,1712857887000.0,,0,FULL_TIME,USD,BASE_SALARY,83200.0,80521.0,8069.0
10998357,The National Exemplar ,Assitant Restaurant Manager,"The National Exemplar is accepting applications for an Assistant Restaurant Manager.
We offer highly competitive wages, healthcare, paid time off, complimentary dining privileges and bonus opportunities. 
We are a serious, professional, long-standing neighborhood restaurant with over 41 years of service. If you are looking for a long-term fit with a best in class organization then you should apply now. 
Please send a resumes to pardom@nationalexemplar.com. o",65000.0,YEARLY,"Cincinnati, OH",64896719.0,8.0,,45000.0,Full-time,,1713277614000.0,,https://www.linkedin.com/jobs/view/10998357/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1715869614000.0,,,"We are currently accepting resumes for FOH - Asisstant Restaurant Management with a strong focus on delivering high quality customer service. Prefer 1 to 3 years FOH management experience. Candidate should be a self-starter, proactive, attentive to details and like developing others. Must have a strong sense of teamwork and strong witten and verbal communication skills. Have a keen interest in service, food and learning. Passion for excellence and doing things right.",1713277614000.0,,0,FULL_TIME,USD,BASE_SALARY,55000.0,45202.0,39061.0
23221523,"Abrams Fensterman, LLP",Senior Elder Law / Trusts and Estates Associate Attorney,"Senior Associate Attorney - Elder Law / Trusts and Estates  Our legal team is committed to providing each client with quality counsel, innovative solutions, and personalized service. Founded in 2000, the firm offers the legal expertise of its 115+ attorneys, who have accumulated experience and problem-solving skills over decades of practice.
We are a prominent Lake Success Law Firm seeking an associate attorney for its growing Elder Law and Estate Planning practice. The successful candidate will be a self-motivated, detail-oriented team member with strong communication skills and a desire to grow their practice. Experience with Estate Planning, Administration, and Litigation and is preferred.
 Responsibilities will include:
Counseling clients with regard to estate planning and asset protection;Formulating and overseeing execution of Medicaid and estate plans;Drafting wills, revocable and irrevocable trusts, powers of attorney, health care proxies, and living wills;Estate Administration;Trust Administration;Court Appearances for Estate and Proceedings;Supervising paralegals 
Qualifications:Juris Doctor degree (J.D.) from an accredited law schoolLicensed to practice law in New York10-15 years of experienceExperience with various advance directives, trusts, and willsStrong analytical and problem-solving skillsAbility to build rapport with clientsExcellent written and verbal communication skills
 Competitive salary commensurate with experienceSalary: $140,000- $175,000Benefits: 401k, Medical, Dental, Life Insurance, PTO, and more
This position is based out of Lake Success, NY ",175000.0,YEARLY,"New Hyde Park, NY",766262.0,16.0,,140000.0,Full-time,,1712895812000.0,,https://www.linkedin.com/jobs/view/23221523/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1715487812000.0,,,"This position requires a baseline understanding of online marketing including Search Engine Marketing, Search Engine Optimization, and campaign analytics. The ideal candidate must be an analytical and detailed dynamic, self-starter who is proactive, and able to multitask effectively. This individual must be a strategic thinker with excellent verbal and written communication, as well strong presentation skills and the ability to work independently in an organized manner.",1712895812000.0,,0,FULL_TIME,USD,BASE_SALARY,157500.0,11040.0,36059.0
35982263,, Service Technician,"Looking for HVAC service tech with experience in commerical and industrial equipment. Minimum 5 yrs. on the job with mechanical license. Winger is a full line union mechanical business with Piping, plumbing, sheet metal and service.",80000.0,YEARLY,"Burlington, IA",,3.0,,60000.0,Full-time,,1713451943000.0,,https://www.linkedin.com/jobs/view/35982263/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1716043943000.0,,,,1713451943000.0,,0,FULL_TIME,USD,BASE_SALARY,70000.0,52601.0,19057.0
91700727,Downtown Raleigh Alliance,Economic Development and Planning Intern,"Job summary:The Economic Development & Planning Intern will provide valuable support to the Economic Development & Planning team, with a specific focus on urban planning and transportation initiatives during the upcoming summer semester. This role is ideal for a local graduate or undergraduate student with a keen interest in economic development, city planning, and a passion for contributing to the growth of a vibrant downtown community.
Responsibilities/Essential Functions:Support the Planning & Transportation Manager and DRA Economic Development &Planning team in major planning and advocacy initiatives, such as the ongoing Downtown Economic Development Strategy.Assist in coordination efforts related to transportation planning and major downtownprojects such Raleigh’s first Bus Rapid Transit line.Contribute to the creation of reports, including the annual State of Downtown andquarterly market reports.Assist in data collection, analysis, and maintenance of downtown data.Support small business and retail recruitment programs.Participate in stakeholder meetings and community engagement efforts.
Qualifications:Currently enrolled in a graduate or undergraduate program with a focus on urbanplanning, economics, business, research, public administration, geography,sustainability, or related field.Strong interest in economic development, city planning, and community revitalization.Excellent analytical and research skills, with a keen eye for detail.Proficiency in Microsoft Office Suite and data analysis tools.Effective communication skills, both written and verbal.
Benefits:Gain hands-on experience in economic development and city planning.Work closely with a dynamic and experienced team of economic development andplanning professionals.Networking opportunities with local stakeholders and professionals.Compensation for your contributions
Physical Requirements:Prolonged periods sitting at a desk and working on a computer.Must be able to lift up to 15 pounds at times.Must be able to access various departments of a given location.
Position Environment: This is an in-person role, with the candidate reporting to the Downtown Raleigh Alliance offices at 333 Fayetteville Street, Suite 1150, Raleigh NC. Office space will be provided onsite at DRA and the intern may also be in the field providing support to our Downtown Raleigh community. DRA will provide parking for regular or required on-site work. DRA will also provide the option of transit passes for regular or on-site work. Travel outside of periodic travel to and from Downtown Raleigh and the DRA office will not be required of this position.
Other duties:Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.
Compensation:This position is a temporary, part-time position, at approximately 12 to 20 hours a week and limited to a maximum 14-week term, aligned with the summer university calendar. Anticipated pay range is $14 - $20 an hour commensurate with qualifications and prior experience. This position is non-exempt and not eligible for benefits at DRA.
How to Apply:Please submit your resume and cover letter highlighting your interest in economic development and planning to marysell@downtownraleigh.org. Applications will be accepted until Monday, May 6th. Interviews will be scheduled on a rolling basis.
EEO statement: We are an equal employment opportunity employer and do not discriminate against any person because of race, color, creed, religion, national origin, political affiliation, sex, gender identity or expression, sexual orientation, age, disability, genetic information, or other reasons prohibited by law (referred to as ""protected status""). This nondiscrimination and opportunity policy extends to employment, use of all company facilities, membership, board service and leadership, volunteerism, participation in any of the organizations programs or services and all employment actions such as promotions, compensation, benefits and termination of employment.",20.0,HOURLY,"Raleigh, NC",1481176.0,9.0,,14.0,Internship,4.0,1713456099000.0,,https://www.linkedin.com/jobs/view/91700727/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1716048099000.0,,,,1713456099000.0,,0,INTERNSHIP,USD,BASE_SALARY,35360.0,27601.0,37183.0
103254301,Raw Cereal,Producer,"Company DescriptionRaw Cereal is a creative design agency specializing in live, interactive, corporate, and installation-based entertainment. Our mission is to push boundaries and create unique and immersive experiences for our clients. We pride ourselves on our end-to-end creative services and cutting-edge use of technology for larger-than-life productions.
Role DescriptionWe're looking for Directors, Producers, Creatives, AI Programmers, 3D Artists, Senior Motion Graphics Artists, Editors, etc. 
If you think you have something to add, please reach out. 
Jobs@rawcereal.com",300000.0,YEARLY,United States,81942316.0,7.0,,60000.0,Contract,1.0,1712861019000.0,1.0,https://www.linkedin.com/jobs/view/103254301/?trk=jobs_biz_prem_srch,,SimpleOnsiteApply,1715453019000.0,,,,1712861019000.0,,0,CONTRACT,USD,BASE_SALARY,180000.0,,
112576855,,Building Engineer,"Summary: Due to the pending retirement of our building engineer, we are seeking a Building Engineer (BE). The BE is a salaried, overtime-exempt professional with direct responsibility for the physical plant of our historic clubhouse. This hands-on position involves light maintenance tasks, operation of building systems, selection and oversight of outside contractors, and administration of building maintenance records. 
Founded in 1852, the Pacific-Union Club is one of the oldest and most exclusive clubs in the world and is known the world over for its excellent facilities and gracious staff. Our 1910 clubhouse is a National Historic Landmark and a California Designated Landmark. The Club provides dining services, a library, athletic facilities, and overnight accommodation.  Qualifications:· Professional training certification or a minimum of 5 years of experience in charge of building maintenance are strongly desired, though we will consider candidates with an equivalent combination of education and experience.· High School degree required, though we will consider candidates with equivalent education or experience · Experience and verifiable competence in building systems including HVAC, steam, gas, electrical, plumbing, repair work and/or equivalent training are required.· Excellent communication skills are required, including proficient oral and written communication. English fluency is required and the ability to speak additional languages is highly desired. · Good organizational and time management skills are required. · Computer competency with word processing, spreadsheets, email, and building systems is required. · Experience in emergency response is highly desired. Must be capable of taking a leadership role in emergency response.· Must demonstrate a working knowledge of building codes and regulations pertaining to all basic trades.· CFC and other trade certifications are desired. · Experience supervising maintenance staff or equivalent training in supervision is highly desired. Physical Requirements: · Standing, sitting, walking, and moving about in a normal fashion for extended periods of time including kneeling, crouching, and climbing ladders.· Reaching by extending hand(s) or arm(s) in any direction.· Ability to bend and lift objects, and push or pull items weighing up to 50 pounds.· Finger dexterity to manipulate objects with fingers rather than with whole hand(s) or arm(s).· Communication skills using the spoken word.· Ability to see and hear within normal parameters. Schedule: The BE’s work schedule shall be determined in accordance with business demands. Typically, the schedule consists of weekday daytime shifts, but the Chief Engineer must be available and prepared to work all shifts and days of the week as needed to accomplish the full range of responsibilities. Responsibilities:· Building maintenance maintains all aspects of the building and grounds to the highest standards of safety, cleanliness, orderliness, efficiency, record keeping and professionalism. The BE is proactive in his duties and makes recommendations for improving systems and procedures.· Project management: coordinates and manages maintenance projects and property renovations.· Supervision: trains and supervises repair/maintenance staff, vendors, and outside contractors. · Serves as the Club’s expert on all building operation systems including HVAC, steam, electrical, plumbing, fire sprinklers, utilities, laundry, fire suppression systems, dish machine, elevator, disabled lift, lighting, irrigation, security, etc.· Emergency response: handles emergencies in cooperation with other management staff and takes an active role in training staff in the safe use of equipment and systems. · Communication: interfaces positively with co-workers, members, and vendors and reports concerns.· Other: additional duties and responsibilities may be assigned from time to time. · Maintains a self-improvement program and keeps abreast of new equipment technology, automation, standards, codes, maintenance procedures, and emergency response.
Benefits:§ 401(k) retirement plan with 3% employer contribution and up to 5% additional contribution annually for qualified participants; no matching requirement§ Health Plan (choice of 3 plans) with up to 100% individual premiums paid, 75% of dependent premiums paid§ Dental Plan with up to 100% individual premiums paid, 75% of dependent premiums paid§ Life Insurance§ Long Term Disability Insurance§ Paid vacations (accrual begins after 2 mo. of employment)§ 9 paid holidays (after 30 days of employment)§ Break beverages and meals provided§ Work uniform (shirt and pants) provided and maintained by the Club.
APPLICATION: Interested applicants should submit a full resume and formal cover letter that explains your interest and qualification for the position. While traditional mail is acceptable, the employer prefers that both documents be sent by email, preferably in PDF format to jobs@puclub.org Traditional mail: Attn: Tom Gaston, The Pacific-Union Club, 1000 California Street, San Francisco, CA 94108 The Club will consider all qualified applicants in accordance with its Equal Employment Opportunity policies and the San Francisco Fair Chance Ordinance.",120000.0,YEARLY,"San Francisco, CA",,2.0,,90000.0,Full-time,,1712443452000.0,,https://www.linkedin.com/jobs/view/112576855/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1727995372000.0,,,,1712443452000.0,,0,FULL_TIME,USD,BASE_SALARY,105000.0,94101.0,6075.0
1218575,Children's Nebraska,Respiratory Therapist,"At Children’s, the region’s only full-service pediatric healthcare center, our people make us the very best for kids. Come cultivate your passion, purpose and professional development in an environment of excellence and inclusion, where team members are supported and deeply valued. Opportunities for career growth abound as we grow our services and spaces, including the cutting-edge Hubbard Center for Children. Join our highly engaged, caring team—and join us in providing brighter, healthier tomorrows for the children we serve. Children's is committed to diversity and inclusion. We are an equal opportunity employer including veterans and people with disabilities.
A Brief OverviewProvides appropriate respiratory care specific to the pediatric population in accordance with the hospital policy/procedure. Assesses, plans and implements appropriate respiratory plan of care based on the cardiopulmonary needs of the patients. Evaluates effectiveness of plan of care and recommends revisions to the multidisciplinary care team
Essential Functions• Set up and operate devices such as mechanical ventilators, therapeutic gas administration apparatus, environmental control systems, and aerosol generators, following specified parameters of treatment. • Determine requirements for treatment, such as type, methods and duration of therapy, precautions to be taken, and medication and dosages, compatible with physician’s orders. • Read physicians’ orders, measure arterial blood gases, and review patient information to assess patient’s condition. • Explain treatment procedures to patients to gain cooperation and allay fears. • Monitor patient’s physiological responses to therapy such as vital signs, arterial blood gases and blood chemistry changes and consult with physician if adverse reactions occur. • Administer therapeutic gases including nitrogen, nitric oxide, heliox, etc. • Enforce safety rules and ensure careful adherence to physicians’ orders. • Maintain charts that contain patient pertinent identification and therapy information. • Inspect, clean, test, and maintain respiratory therapy equipment to ensure equipment is functioning safely and efficiently and notify manager/supervisor when repairs are necessary. • Educate patients and/or their families about the patient’s condition and teach appropriate disease management techniques such as breathing exercises and the use of medications and respiratory equipment. • Perform broncho-pulmonary drainage and assist or instruct patients in performance of breathing exercises. • Conduct lung capacity tests to evaluate patient’s cardiopulmonary functions. • Provide emergency care, including artificial respiration, external cardiac massage and assistance with cardiopulmonary resuscitation. • Complete all required respiratory therapy competency tests within specified timeline. • Demonstrate competency in identified technical skills for the respiratory department at the specific work area.Other duties may also include Clinical Instructor (schedule dependent on the contract with Respiratory Therapy schools): • Supervise contracted Respiratory Therapy (RT) students from specified schools in the clinical hospital setting. • Orients RT students to their role in the hospital, which includes scope of service, policies and procedures, patient safety, and professionalism. • Orients RT students to the equipment used by RT at Children’s. • Provides opportunities for directly supervised hands on learning in the clinical setting. • Responsible for accurate completion and documentation of all Respiratory Therapy performed with RT students. • Responsible for accurate “Hand off” of patient information and ordered Respiratory Therapy performed with RT students.Regular attendance at work is an essential function of the job.Perform physical requirements as described in the Physical Requirements section
Education QualificationsGraduate of an accredited AMA approved school of respiratory care accredited by the National Board of Respiratory Care Required andBachelor's Degree From an AMA approved accredited school in respiratory care PreferredExperience QualificationsMinimum 1 year experience in respiratory therapy Preferred andExperience working with pediatric patients PreferredSkills and AbilitiesDemonstrates competency in technical skills related to the Respiratory Therapy department.Licenses and CertificationsRCP - Licensed Respiratory Care Practitioner Current and valid Nebraska license as a Respiratory Care Practitioner Required andBCLS - Basic Life Support through the American Heart Association Required andRRT - Registered Respiratory Therapist Current and valid National Registered Respiratory Therapist (RRT) credential within 1 Year Required andCurrent and valid National Registered Neonatal/Pediatric Respiratory Therapist (RRT-NPS) credential within three years of hire. Required andPALS - Pediatric Advanced Life Support within 180 Days Required
Children’s is the very best for kids and the very best for your career! At Children’s, we put YOU first so together, we can improve the life of every child!",,,"Omaha, NE",721189.0,3.0,,,Full-time,,1712348500000.0,,https://www.linkedin.com/jobs/view/1218575/?trk=jobs_biz_prem_srch,www.childrensnebraska.org,OffsiteApply,1714940500000.0,,,"• Requires the ability to communicate effective, both verbally and in writing • Requires basic computer skills 

EDUCATION AND EXPERIENCE: 

• Graduate of an accredited school of occupational therapy • Must possess current valid Nebraska State License in Occupational Therapy • Must possess current valid registration by the NBCOT ( National Board for Certification in Occupational Therapy) • Must be certified in Basic Life Support • Experience with pediatric patients preferred",1712348500000.0,,0,FULL_TIME,,,,68102.0,31055.0
2264355,Bay West Church,Worship Leader,"It is an exciting time to be a part of our church! We are looking for the right energetic leader to join the mission to make disciples for Jesus in Palm Bay, Florida and beyond.
What type of candidate are we looking for:This best fit for the position will lead our worship team to creatively craft meaningful, inspiring musical worship in our worship experiences. He or she will also shepherd our team, and help disciple them to make disciples.The ideal candidate will invest their lives as a part of our church family. This position is also for someone who is willing to own this ministry and work to see it move forward.
Skills to have:- A vibrant, growing relationship with Jesus Christ- Faithful commitment to the vision, mission and leadership standards of our church- Ability to lead our worship musicians to create excellent, authentic modern worship (example: Hillsong, Elevation, etc...)- Exceptional vocal and/or instrumental talent- Multitracks, Planning Center Online, ProPresenter are required or must learn quickly.
Responsibilities:- Create musical worship for Sunday morning worship gathering- Conduct rehearsals to prepare for Sundays- Other duties as assigned**** Local connections for team building are a plus**This position is part-time to start with the ability to increase as the demands of the church require it.
Hours per week:Less than 10
When you apply, include a link to you leading worship in a worship service setting.",,MONTHLY,"Palm Bay, FL",28631247.0,5.0,350.0,,Part-time,,1712455955000.0,,https://www.linkedin.com/jobs/view/2264355/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1715047955000.0,,,"Knowledge, Skills and Abilities: 1. Proficient with computer technology such as Microsoft Office. Also proficiency with (or ability to learn) ProPresenter and online applications such as Google Calendar and Planning center. Understanding and skill in Photoshop, Adobe Premiere a plus.
 2. Good writing, analytical and problem‐solving skills.
 3. Good knowledge of social networking applications such as Facebook, Twitter.
 4. Ability to communicate effectively verbally and in writing.
 5. Ability to operate standard office equipment, including but not limited to, computers, telephone systems, copiers/printers and facsimile machines.
 6. Ability to follow oral and written instructions.
 7. Follow-up skills with great attention to detail.
 8. Coachable ability in graphic design and minimal video editing ability a HUGE plus and preferred, but not required. 
Minimum Qualifications: 1. At least two (2) years of experience in general office responsibilities and procedures and two (2) years of graphics design and media background.
 2. Must be proficient in computer usage, both internet and word processing.
 3. Knowledge of principles and practices of basic office management and organization.
 4. Ability to work well either alone or as part of a team.
 5. Must be fully committed to the mission of FBC Melbourne/Bay West Church",1712455955000.0,,0,PART_TIME,USD,BASE_SALARY,4200.0,32905.0,12009.0
